IL_SMILES,Experiment_value,IL_molratio,HL_molratio,CHL_molratio,PEG_molratio,IL_to_nucleicacid_massratio,molwtlog1p,Nitrogen.Count,Rotatable.Bonds,LogP,Fraction.sp3.Carbons,Topological.Polar.Surface.Area,Hydrogen.Bond.Donors,Hydrogen.Bond.Acceptors,Heavy.Atoms,van.der.Waals.Molecular.Volume,Molar.Refractivity,has_ester,has_carbonate,has_disulfide,Cargo_type_FLuc,Cargo_type_GFP,Model_type_A549,Model_type_BeWo_b30,Model_type_DC2.4,Model_type_HEK293T,Model_type_HeLa,Model_type_HepG2,Model_type_IGROV1,Model_type_RAW264.7,HL_name_14PA,HL_name_18PG,HL_name_DDAB,HL_name_DOPE,HL_name_DOTAP,HL_name_DSPC,HL_name_MDOA,Dose_ug_nucleicacid,Sample_weight
CCCCCCC#CCCOC(=O)CCCC1(CCCC(=O)OCCCCCCCC/C=C\CCCCCCCC)C=NC(C(=O)OCC)N1CCN1CCCC1,3.801570006586688,35.0,16.0,46.5,2.5,10.0,6.683619986054745,3,35,10.925,0.8333333333333334,97.74,0,9,57,797.603107,234.248,True,False,False,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.05,1.0
CCCCCCC#CCCOC(=O)CCCC1(CCCC(=O)OCCCCCCCC/C=C\CCCCCCCC)C=NC(C(=O)OC(C)(C)C)N1CCN1CCCC1,3.6628675234877166,35.0,16.0,46.5,2.5,10.0,6.718120243781916,3,34,11.7036,0.84,97.74,0,9,59,825.635882,243.46,True,False,False,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.05,1.0
CCCCCCC#CCCOC(=O)CCCC(C=NC(C)(C)C)(CCCC(=O)OCCCCCCCC/C=C\CCCCCCCC)NCCN1CCCC1,-0.1316805498256807,35.0,16.0,46.5,2.5,10.0,6.6480009057836,3,35,12.1083,0.8541666666666666,80.22999999999999,1,7,55,769.658265,234.8767,True,False,False,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.05,1.0
CCCCCCC#CCCOC(=O)CCCC(C=NCCCC)(CCCC(=O)OCCCCCCCC/C=C\CCCCCCCC)NCCN1CCCC1,-2.0177810199521136,35.0,16.0,46.5,2.5,10.0,6.6480009057836,3,38,12.1099,0.8541666666666666,80.22999999999999,1,7,55,769.658265,234.8987,True,False,False,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.05,1.0
CCCCCCC#CCCOC(=O)CCCC(C=NC1CCCCC1)(CCCC(=O)OCCCCCCCC/C=C\CCCCCCCC)NCCN1CCCC1,-2.0177810199521136,35.0,16.0,46.5,2.5,10.0,6.681204680267808,3,36,12.6425,0.86,80.22999999999999,1,7,57,795.676565,241.9967,True,False,False,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.05,1.0
CCCCCCCCCCCCOC(=O)CCCC1(CCCC(=O)OCCCCCCCCCCCC)C=NC(C(=O)OC)N1CCN1CCCC1,-0.1316805498256807,35.0,16.0,46.5,2.5,10.0,6.60003375119263,3,34,9.9753,0.9069767441860463,97.74,0,9,52,733.564593,212.715,True,False,False,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.05,1.0
CCCCCCCCCCCCOC(=O)CCCC1(CCCC(=O)OCCCCCCCCCCCC)C=NC(C(=O)OCC)N1CCN1CCCC1,0.2140315992398948,35.0,16.0,46.5,2.5,10.0,6.618935225942658,3,35,10.3654,0.9090909090909092,97.74,0,9,53,747.58098,217.332,True,False,False,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.05,1.0
CCCCCCCCCCCCOC(=O)CCCC1(CCCC(=O)OCCCCCCCCCCCC)C=NC(C(=O)OC(C)(C)C)N1CCN1CCCC1,3.801570006586688,35.0,16.0,46.5,2.5,10.0,6.655699004172555,3,34,11.144,0.9130434782608696,97.74,0,9,55,775.613756,226.544,True,False,False,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.05,1.0
CCCCCCCCCCCCOC(=O)CCCC(C=NC(C)(C)C)(CCCC(=O)OCCCCCCCCCCCC)NCCN1CCCC1,-0.1316805498256807,35.0,16.0,46.5,2.5,10.0,6.580890146001539,3,35,11.5487,0.9318181818181818,80.22999999999999,1,7,51,719.636138,217.9607,True,False,False,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.05,1.0
CCCCCCCCCCCCOC(=O)CCCC(C=NCCCC)(CCCC(=O)OCCCCCCCCCCCC)NCCN1CCCC1,-0.1316805498256807,35.0,16.0,46.5,2.5,10.0,6.580890146001539,3,38,11.5503,0.9318181818181818,80.22999999999999,1,7,51,719.636138,217.9827,True,False,False,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.05,1.0
