Lipid_name,Num_tails,Num_carbon_in_tail,MolWt,num_unsaturated_cc_bonds,num_protonatable_nitrogens
A11-T5,2,6,717.089,2,2
A36-T4,2,5,605.9050000000003,2,3
A13-T4,2,5,631.9430000000002,2,3
A53-T1,2,18,736.1759999999995,1,1
A35-T5,2,6,633.9590000000002,2,3
A38-T3,2,18,1404.236,6,2
A43-T6,2,7,1081.614999999999,4,2
A4-T10,2,10,1153.7659999999987,4,2
A54-T9,2,8,664.969,2,2
A40-T2,2,18,1409.256,4,3
A39-T10,2,10,716.1049999999999,2,3
A12-T5,2,6,659.997,2,3
A65-T9,2,8,1086.5869999999986,4,1
A46-T3,2,18,1404.236,6,2
A48-T3,2,18,2724.309999999999,12,4
A43-T7,2,8,1109.668999999999,4,2
A64-T7,2,8,1114.6409999999987,4,1
A27-T7,2,8,1137.7229999999993,4,2
A46-T7,2,8,1123.695999999999,4,2
A58-T8,2,9,1112.6689999999992,4,1
A12-T6,2,7,674.0239999999999,2,3
A66-T4,2,5,1014.4359999999992,4,1
A38-T2,2,18,1408.2679999999998,4,2
A65-T6,2,7,1058.5329999999988,4,1
A58-T1,2,18,1373.2189999999998,2,1
A35-T10,2,10,690.0669999999999,2,3
A12-T7,2,8,688.0509999999998,2,3
A59-T1,2,18,2614.2350000000006,4,2
A65-T7,2,8,1086.5869999999986,4,1
A62-T5,2,6,1476.1669999999992,6,2
A36-T5,2,6,619.9320000000002,2,3
A27-T6,2,7,1109.6689999999992,4,2
A70-T1,2,18,1414.272,2,2
A64-T9,2,8,1114.6409999999987,4,1
A66-T6,2,7,1070.5439999999992,4,1
A3-T9,2,8,1111.6849999999988,4,2
A46-T8,2,9,1151.749999999999,4,2
A62-T3,2,18,1981.1390000000008,9,2
A72-T6,2,7,609.8920000000004,2,1
A14-T4,2,5,1534.2509999999993,6,4
A49-T1,2,18,1412.3,2,2
A53-T3,2,18,732.1439999999998,3,1
A48-T9,2,8,2163.2300000000005,8,4
A58-T6,2,7,1056.560999999999,4,1
A11-T6,2,7,731.116,2,2
A38-T1,2,18,1412.2999999999995,2,2
A35-T9,2,8,662.013,2,3
A49-T2,2,18,1408.268,4,2
A40-T5,2,6,1068.5759999999989,4,3
A64-T2,2,18,1399.2129999999993,4,1
A56-T1,2,18,1331.1379999999997,2,1
A72-T4,2,5,581.8380000000005,2,1
A43-T1,2,18,1398.2729999999997,2,2
