src_A,src_B,mean_tanimoto,max_tanimoto,n_pairs
BroadPharm_2024,SS_2018,0.34665652665470587,0.5396825396825397,12
SB_2024,YX_2024,0.3462242297377277,0.484375,114
SP_2020,ZH_2023,0.34529011904613716,0.453125,81
LX_2024_3,XH_2024,0.34470840334403313,0.575,95
NC_2024,SS_2018,0.3440519281373388,0.5098039215686274,15
AA_2008,LZ_2025,0.34182115211994984,0.65,278
JW_2024,LZ_2025,0.34169872903950604,0.5625,962
AA_2008,JM_2016,0.34129489953331565,0.5535714285714286,270
JL_2024,SB_2024,0.34105982108120153,0.5344827586206896,24
BL_2023,BL_2024,0.3406776754420745,0.5454545454545454,2368
RG_2023,YR_2024,0.33946143400587914,0.4666666666666667,394
JW_2024,RG_2023,0.33785987948336715,0.5147058823529411,2496
JM_2016,YY_2023,0.3377092862124852,0.5172413793103449,68
BL_2024,SS_2018,0.3376248381219835,0.6101694915254238,30
YR_2024,YX_2023,0.3373635812872596,0.5689655172413793,250
LX_2024_2,YX_2023,0.335721382342408,0.5,238
BL_2024,YX_2023,0.33527476482283924,0.5454545454545454,622
LX_2024_2,NC_2024,0.33475886503151253,0.5531914893617021,402
JW_2024,ZL_2022,0.3346839530808677,0.5609756097560976,702
JC_2023,LZ_2025,0.33460144912947054,0.6122448979591837,158
AP_2025,BL_2024,0.3344791984406551,0.5625,348
RG_2023,XH_2024,0.3340491298414739,0.40350877192982454,116
JW_2024,KS_2024,0.334045405241129,0.627906976744186,1430
KS_2024,ZC_2023,0.33379880038266274,0.5319148936170213,122
LX_2024_2,ZC_2023,0.3335400923457324,0.5588235294117647,172
BroadPharm_2024,YR_2024,0.33318282151456213,0.7804878048780488,308
KS_2024,LR_2023,0.3330930621870428,0.5294117647058824,382
RG_2023,YX_2023,0.3330775711060548,0.40298507462686567,293
BroadPharm_2024,JW_2024,0.33285874832663576,0.6938775510204082,1950
BL_2024,JC_2023,0.3325202285776741,0.5694444444444444,866
YX_2023,YY_2023,0.33196096454691515,0.5,116
BL_2023,KW_2014,0.331598383250004,0.6229508196721312,4480
LX_2024_2,YR_2024,0.3305472837683433,0.5909090909090909,320
BroadPharm_2024,YX_2023,0.3304774734020006,0.7073170731707317,229
LR_2023,ZL_2022,0.32976531507825046,0.45,188
BL_2023,YX_2023,0.3293594474270949,0.6382978723404256,708
SX_2025,YX_2024,0.32924202591931956,0.5396825396825397,1512
LZ_2025,ZL_2022,0.32923373622646207,0.4418604651162791,51
LR_2023,LX_2024_2,0.3291409579813137,0.5606060606060606,542
