Lipid_name,Num_tails,MolWt,Num_carbon_in_tail,num_unsaturated_cc_bonds,num_protonatable_nitrogens
2A1-SN10,2,933.333,0,0,4
2A3-SN10,2,933.333,0,0,4
2A9-SN10,2,893.268,0,0,4
2A11-SN10,2,978.418,0,0,5
3A5-SN10,3,1395.99,0,0,7
4A2-SN10,4,1746.426,0,0,6
5A4-SN10,5,2159.023,0,0,9
6A2-SN10,6,2603.661,0,0,10
2H2-SN10,2,962.415,0,0,3
2H4-SN10,2,1018.523,0,0,3
2H6-SN10,2,1074.631,0,0,3
2A1-SN11,2,985.409,0,0,4
2A3-SN11,2,985.409,0,0,4
2A9-SN11,2,945.344,0,0,4
2A11-SN11,2,1030.494,0,0,5
3A5-SN11,3,1474.104,0,0,7
4A2-SN11,4,1850.578,0,0,6
5A4-SN11,5,2289.213,0,0,9
6A2-SN11,6,2759.889,0,0,10
2H2-SN11,2,1014.491,0,0,3
2H4-SN11,2,1070.599,0,0,3
2H5-SN11,2,1098.653,0,0,3
2A7-SC1,2,678.955,3,0,2
2A8-SC1,2,673.939,3,0,1
2A9-SC1,2,636.918,3,0,2
2A10-SC1,2,664.972,3,0,2
2A11-SC1,2,722.068,3,0,3
2A12-SC1,2,680.971,3,0,2
3A1-SC1,3,937.338,3,0,2
3A2-SC1,3,951.365,3,0,2
3A4-SC1,3,941.326,3,0,2
1H1-SC1,1,473.764,3,0,1
2H4-SC1,2,762.173,3,0,1
2H5-SC1,2,790.227,3,0,1
2H6-SC1,2,818.281,3,0,1
2A1-SC2,2,705.037,4,0,2
2A6-SC2,2,705.037,4,0,2
2A7-SC2,2,707.009,4,0,2
2A8-SC2,2,701.993,4,0,1
2A9-SC2,2,664.972,4,0,2
2A10-SC2,2,693.026,4,0,2
2A11-SC2,2,750.122,4,0,3
2A12-SC2,2,709.025,4,0,2
3A1-SC2,3,979.419,4,0,2
4A2-SC2,4,1289.834,4,0,2
5A1-SC2,5,1573.268,4,0,3
5A2-SC2,5,1631.352,4,0,5
1H2-SC2,1,529.872,4,0,1
1H3-SC2,1,585.98,4,0,1
2H4-SC2,2,790.227,4,0,1
2H5-SC2,2,818.281,4,0,1
1A5-SC3,1,404.617,3,0,2
2A1-SC3,2,705.037,3,0,2
2A5-SC3,2,691.01,3,0,2
2A6-SC3,2,705.037,3,0,2
2A7-SC3,2,707.009,3,0,2
2A8-SC3,2,701.993,3,0,1
2A9-SC3,2,664.972,3,0,2
2A10-SC3,2,693.026,3,0,2
2A11-SC3,2,750.122,3,0,3
2A12-SC3,2,709.025,3,0,2
3A1-SC3,3,979.419,3,0,2
3A2-SC3,3,993.446,3,0,2
3A3-SC3,3,1024.504,3,0,3
3A4-SC3,3,983.407,3,0,2
4A2-SC3,4,1289.834,3,0,2
4A4-SC3,4,1301.842,3,0,2
5A1-SC3,5,1573.268,3,0,3
5A2-SC3,5,1631.352,3,0,5
2A4-SC4,2,670.935,4,0,1
2A6-SC4,2,676.983,4,0,2
2A7-SC4,2,678.955,4,0,2
2A8-SC4,2,673.939,4,0,1
2A9-SC4,2,636.918,4,0,2
2A10-SC4,2,664.972,4,0,2
2A11-SC4,2,722.068,4,0,3
2A12-SC4,2,680.971,4,0,2
3A1-SC4,3,937.338,4,0,2
3A2-SC4,3,951.365,4,0,2
3A4-SC4,3,941.326,4,0,2
4A4-SC4,4,1245.734,4,0,2
5A2-SC4,5,1561.217,4,0,5
1H3-SC4,1,571.953,4,0,1
2H4-SC4,2,762.173,4,0,1
2H5-SC4,2,790.227,4,0,1
2A4-SC5,2,698.989,5,0,1
2A6-SC5,2,705.037,5,0,2
2A8-SC5,2,701.993,5,0,1
2A9-SC5,2,664.972,5,0,2
2A10-SC5,2,693.026,5,0,2
2A12-SC5,2,709.025,5,0,2
3A4-SC5,3,983.407,5,0,2
1H3-SC5,1,585.98,5,0,1
2H3-SC5,2,762.173,5,0,1
2H5-SC5,2,818.281,5,0,1
1A2-SC6,1,459.697,6,0,3
1A5-SC6,1,418.644,6,0,2
2A1-SC6,2,733.091,6,0,2
2A4-SC6,2,727.043,6,0,1
2A5-SC6,2,719.064,6,0,2
2A6-SC6,2,733.091,6,0,2
2A7-SC6,2,735.063,6,0,2
2A8-SC6,2,730.047,6,0,1
2A10-SC6,2,721.08,6,0,2
2A12-SC6,2,737.079,6,0,2
4A2-SC6,4,1345.942,6,0,2
2H5-SC6,2,846.335,6,0,1
1A2-SC7,1,473.724,7,0,3
2A1-SC7,2,761.145,7,0,2
2A3-SC7,2,761.145,7,0,2
2A4-SC7,2,755.097,7,0,1
2A5-SC7,2,747.118,7,0,2
2A8-SC7,2,758.101,7,0,1
2A9-SC7,2,721.08,7,0,2
2A10-SC7,2,749.134,7,0,2
2A11-SC7,2,806.23,7,0,3
2A12-SC7,2,765.133,7,0,2
3A4-SC7,3,1067.569,7,0,2
4A2-SC7,4,1402.05,7,0,2
1H2-SC7,1,557.926,7,0,1
2H4-SC7,2,846.335,7,0,1
2H5-SC7,2,874.389,7,0,1
2H6-SC7,2,902.443,7,0,1
2A4-SC8,2,783.151,8,0,1
2A5-SC8,2,775.172,8,0,2
2A8-SC8,2,786.155,8,0,1
2A10-SC8,2,777.188,8,0,2
2A12-SC8,2,793.187,8,0,2
3A1-SC8,3,1105.662,8,0,2
4A2-SC8,4,1458.158,8,0,2
2H5-SC8,2,902.443,8,0,1
2H6-SC8,2,930.497,8,0,1
1A1-SC9,1,444.682,9,0,2
1A3-SC9,1,474.708,9,0,2
1A4-SC9,1,446.698,9,0,2
1A5-SC9,1,460.725,9,0,2
2A1-SC9,2,817.253,9,0,2
2A3-SC9,2,817.253,9,0,2
2A4-SC9,2,811.205,9,0,1
2A5-SC9,2,803.226,9,0,2
2A7-SC9,2,819.225,9,0,2
2A8-SC9,2,814.209,9,0,1
2A9-SC9,2,777.188,9,0,2
2A10-SC9,2,805.242,9,0,2
2A11-SC9,2,862.338,9,0,3
3A4-SC9,3,1151.731,9,0,2
4A2-SC9,4,1514.266,9,0,2
1H3-SC9,1,642.088,9,0,1
1A1-SC10,1,458.709,10,0,2
1A2-SC10,1,515.805,10,0,3
1A3-SC10,1,488.735,10,0,2
1A4-SC10,1,460.725,10,0,2
1A5-SC10,1,474.752,10,0,2
2A1-SC10,2,845.307,10,0,2
2A4-SC10,2,839.259,10,0,1
2A8-SC10,2,842.263,10,0,1
2A9-SC10,2,805.242,10,0,2
2A10-SC10,2,833.296,10,0,2
2A12-SC10,2,849.295,10,0,2
4A2-SC10,4,1570.374,10,0,2
1H2-SC10,1,600.007,10,0,1
1H3-SC10,1,656.115,10,0,1
