Lipid_name,Num_tails,Num_carbon_in_tail,MolWt
25A3-P12,3,12,1065.3869999999993
25A3-P13,3,13,1107.4679999999994
25A3-P14,3,14,1149.5489999999995
25A3-P15,3,15,1191.6299999999997
25A3-P16,3,16,1233.7109999999998
26A3-P4,3,4,728.739
26A3-P5,3,5,770.8199999999999
26A3-P6,3,6,812.9009999999997
26A3-P7,3,7,854.9819999999995
26A3-P8,3,8,897.0629999999993
26A3-P9,3,9,939.143999999999
26A3-P10,3,10,981.2249999999988
26A3-P11,3,11,1023.3059999999988
26A3-P12,3,12,1065.3869999999988
26A3-P13,3,13,1107.467999999999
26A3-P14,3,14,1149.5489999999993
26A3-P15,3,15,1191.6299999999994
26A3-P16,3,16,1233.7109999999998
27A3-P4,3,4,686.6580000000001
27A3-P5,3,5,728.7390000000001
27A3-P6,3,6,770.8199999999999
27A3-P7,3,7,812.9009999999997
27A3-P8,3,8,854.9819999999995
27A3-P9,3,9,897.0629999999992
27A3-P10,3,10,939.143999999999
27A3-P11,3,11,981.2249999999988
27A3-P12,3,12,1023.3059999999986
27A3-P13,3,13,1065.3869999999986
27A3-P14,3,14,1107.467999999999
27A3-P15,3,15,1149.548999999999
27A3-P16,3,16,1191.6299999999994
28A3-P4,3,4,729.727
28A3-P5,3,5,771.8079999999998
28A3-P6,3,6,813.8889999999996
28A3-P7,3,7,855.9699999999996
28A3-P8,3,8,898.0509999999995
28A3-P9,3,9,940.1319999999994
28A3-P10,3,10,982.2129999999992
28A3-P11,3,11,1024.2939999999992
28A3-P12,3,12,1066.374999999999
28A3-P13,3,13,1108.4559999999992
28A3-P14,3,14,1150.5369999999994
28A3-P15,3,15,1192.6179999999997
28A3-P16,3,16,1234.6989999999996
23A4-P4,4,4,920.8899999999998
23A4-P5,4,5,976.9979999999996
23A4-P6,4,6,1033.105999999999
23A4-P7,4,7,1089.2139999999993
23A4-P8,4,8,1145.3219999999994
23A4-P9,4,9,1201.4299999999994
23A4-P10,4,10,1257.537999999999
23A4-P11,4,11,1313.6459999999995
23A4-P12,4,12,1369.7539999999997
23A4-P13,4,13,1425.862
23A4-P14,4,14,1481.9700000000005
23A4-P15,4,15,1538.0780000000002
23A4-P16,4,16,1594.1860000000004
24A4-P4,4,4,866.798
24A4-P5,4,5,922.9059999999998
24A4-P6,4,6,979.0139999999996
24A4-P7,4,7,1035.1219999999992
24A4-P8,4,8,1091.2299999999996
24A4-P9,4,9,1147.3379999999995
24A4-P10,4,10,1203.4459999999992
24A4-P11,4,11,1259.553999999999
24A4-P12,4,12,1315.6619999999991
24A4-P13,4,13,1371.769999999999
24A4-P14,4,14,1427.8779999999992
24A4-P15,4,15,1483.9859999999994
24A4-P16,4,16,1540.0939999999996
25A4-P4,4,4,908.8789999999998
25A4-P5,4,5,964.9869999999996
25A4-P6,4,6,1021.0949999999992
25A4-P7,4,7,1077.2029999999995
25A4-P8,4,8,1133.3109999999997
25A4-P9,4,9,1189.4189999999996
25A4-P10,4,10,1245.5269999999994
25A4-P11,4,11,1301.6349999999998
25A4-P12,4,12,1357.7429999999997
25A4-P13,4,13,1413.851
25A4-P14,4,14,1469.959
25A4-P15,4,15,1526.0670000000002
25A4-P16,4,16,1582.1750000000004
26A4-P4,4,4,909.8869999999998
26A4-P5,4,5,965.9949999999995
26A4-P6,4,6,1022.1029999999994
26A4-P7,4,7,1078.210999999999
26A4-P8,4,8,1134.3189999999995
26A4-P9,4,9,1190.4269999999992
26A4-P10,4,10,1246.534999999999
26A4-P11,4,11,1302.6429999999991
26A4-P12,4,12,1358.7509999999993
26A4-P13,4,13,1414.8589999999997
26A4-P14,4,14,1470.967
26A4-P15,4,15,1527.075
26A4-P16,4,16,1583.1830000000004
27A4-P4,4,4,866.798
27A4-P5,4,5,922.9059999999998
27A4-P6,4,6,979.0139999999996
27A4-P7,4,7,1035.1219999999992
27A4-P8,4,8,1091.229999999999
27A4-P9,4,9,1147.3379999999995
27A4-P10,4,10,1203.4459999999992
27A4-P11,4,11,1259.553999999999
27A4-P12,4,12,1315.6619999999991
27A4-P13,4,13,1371.769999999999
27A4-P14,4,14,1427.8779999999997
27A4-P15,4,15,1483.9859999999996
27A4-P16,4,16,1540.094
28A4-P4,4,4,909.8669999999996
28A4-P5,4,5,965.9749999999996
28A4-P6,4,6,1022.0829999999992
28A4-P7,4,7,1078.1909999999991
28A4-P8,4,8,1134.2989999999998
